Name	Anlageklasse	Gewichtung (%)	Kurs	Nominale	Marktwert	Nominalwert	Sektor	ISIN	Börse	Country	Weighting
TAIWAN SEMICONDUCTOR MANUFACTURING	Aktien	7,73	21,47	5974000	128276074	128276073,62	IT	TW0002330008	Taiwan Stock Exchange	Taiwan	0.0778619976084212
TENCENT HOLDINGS LTD	Aktien	6,64	78,83	1396110	110060303	110060303,47	Kommunikation	KYG875721634	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.066805249363566
ISH MSCI Volksrepublik China A ETF USD ACC	Aktien	6,05	6,64	15103500	100362758	100362757,5	Financials	IE00BQT3WG13	London Stock Exchange	Irland	0.0609189583366011
SAMSUNG ELECTRONICS LTD	Aktien	5,14	73,63	1158278	85279638	85279637,78	IT	KR7005930003	Südkorea Exchange (Stock Market)	Südkorea	0.0517636903398181
ALIBABA GROUP HOLDING LTD	Aktien	4,77	27,1	2921744	79175257	79175256,55	Zyklische Konsumgüter 	KYG017191142	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.0480584060781625
MEITUAN	Aktien	2,05	38,96	871300	33945076	33945075,64	Zyklische Konsumgüter 	KYG596691041	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.0206042430494791
ALIBABA GROUP HOLDING ADR REPRESEN	Aktien	1,24	219,02	94121	20614381	20614381,42	Zyklische Konsumgüter 	US01609W1027	New York Stock Exchange Inc.	Volksrepublik China	0.012512675758832
Volksrepublik China CONSTRUCTION BANK CORP H	Aktien	1,13	0,8	23351558	18755062	18755062,47	Financials	CNE1000002H1	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.0113840920444048
PING AN INSURANCE (GROUP) CO OF CH	Aktien	0,97	10,55	1531666	16152211	16152211,12	Financials	CNE1000003X6	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00980419331606412
JD.COM ADR REPRESENTING INC	Aktien	0,95	75,43	209893	15832229	15832228,99	Zyklische Konsumgüter 	US47215P1066	NASDAQ	Volksrepublik China	0.00960996810213528
RELIANCE INDUSTRIES LTD	Aktien	0,95	30	525120	15755848	15755847,75	Energie	INE002A01018	National Stock Exchange Of India	Indien	0.00956360562970861
INFOSYS LTD	Aktien	0,94	18,98	824474	15648419	15648419,12	IT	INE009A01021	National Stock Exchange Of India	Indien	0.00949839777374542
SK HYNIX INC	Aktien	0,92	115,1	132095	15203733	15203732,81	IT	KR7000660001	Südkorea Exchange (Stock Market)	Südkorea	0.00922847865766547
HOUSING DEVELOPMENT FINANCE CORPOR	Aktien	0,9	35,87	414404	14866464	14866464,12	Financials	INE001A01036	National Stock Exchange Of India	Indien	0.00902376071461423
PINDUODUO ADR REPRESENTING INC	Aktien	0,85	132,17	106093	14022312	14022311,81	Zyklische Konsumgüter 	US7223041028	NASDAQ	Volksrepublik China	0.00851137065396215
XIAOMI CORP	Aktien	0,8	3,81	3487000	13283852	13283852,34	IT	KYG9830T1067	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00806313484611083
SAMSUNG ELECTRONICS NON VOTING PRE	Aktien	0,8	66,37	199087	13213621	13213620,58	IT	KR7005931001	Südkorea Exchange (Stock Market)	Südkorea	0.00802050503234404
NIO AMERICAN DEPOSITARY SHARES REP	Aktien	0,79	41,94	313844	13162617	13162617,36	Zyklische Konsumgüter 	US62914V1061	New York Stock Exchange Inc.	Volksrepublik China	0.00798954670565386
MEDIATEK INC	Aktien	0,78	35,26	365352	12881592	12881591,63	IT	TW0002454006	Taiwan Stock Exchange	Taiwan	0.00781896754697159
BAIDU ADS REPTG INC CLASS A	Aktien	0,76	192,99	65464	12633897	12633897,36	Kommunikation	US0567521085	NASDAQ	Volksrepublik China	0.00766862017419892
WUXI BIOLOGICS CAYMAN INC	Aktien	0,76	15,61	807500	12606696	12606696,02	Gesundheitsversorgung	KYG970081173	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00765210929566752
