Name	Anlageklasse	Country	Weighting
AIA GROUP LTD	Aktien	Hongkong	0.0739841628673956
COMMONWEALTH BANK OF AUSTRALIA	Aktien	Australien	0.0681465286809739
BHP GROUP LTD	Aktien	Australien	0.0537519133735077
CSL LTD	Aktien	Australien	0.0496441424786516
WESTPAC BANKING CORPORATION CORP	Aktien	Australien	0.0369295619407589
HONG KONG EXCHANGES AND CLEARING L	Aktien	Hongkong	0.0346235109563619
NATIONAL AUSTRALIA BANK LTD	Aktien	Australien	0.0339273091080217
AUSTRALIA AND NEW ZEALAND BANKING	Aktien	Australien	0.0310616090252119
WESFARMERS LTD	Aktien	Australien	0.0234598813665707
WOOLWORTHS GROUP LTD	Aktien	Australien	0.0205357368912449
MACQUARIE GROUP LTD DEF	Aktien	Australien	0.019879943110103
DBS GROUP HOLDINGS LTD	Aktien	Singapur	0.0195764962589277
RIO TINTO LTD	Aktien	Australien	0.0173412792607996
OVERSEA-CHINESE BANKING LTD	Aktien	Singapur	0.0151629333346214
TRANSURBAN GROUP STAPLED UNITS	Aktien	Australien	0.0146293596465266
FORTESCUE METALS GROUP LTD	Aktien	Australien	0.0145776994346887
GOODMAN GROUP UNITS	Aktien	Australien	0.0125118136851208
TECHTRONIC INDUSTRIES LTD	Aktien	Hongkong	0.0116727131589115
UNITED OVERSEAS BANK LTD	Aktien	Singapur	0.0112767460353131
CK HUTCHISON HOLDINGS LTD	Aktien	Hongkong	0.0101622003658495
LINK REAL ESTATE INVESTMENT TRUST	Aktien	Hongkong	0.00967040626781669
SUN HUNG KAI PROPERTIES LTD	Aktien	Hongkong	0.00959300215896511
ARISTOCRAT LEISURE LTD	Aktien	Australien	0.00884749477001721
HONG KONG AND Volksrepublik China GAS LTD	Aktien	Hongkong	0.0087520194210804
GALAXY ENTERTAINMENT GROUP LTD	Aktien	Hongkong	0.00871145081031045
WOODSIDE PETROLEUM LTD	Aktien	Australien	0.00863951078212912
COLES GROUP LTD	Aktien	Australien	0.00852534332165564
NEWCREST MINING LTD	Aktien	Australien	0.00838045485601168
CLP HOLDINGS LTD	Aktien	Hongkong	0.00803102622137979
AFTERPAY LTD	Aktien	Australien	0.00768035018025143
HANG SENG BANK LTD	Aktien	Hongkong	0.00764305001005626
SINGAPORE TELECOMMUNICATIONS LTD	Aktien	Singapur	0.0071433322871024
JAMES HARDIE INDUSTRIES CDI PLC	Aktien	Australien	0.00712398261947377
JARDINE MATHESON HOLDINGS LTD	Aktien	Hongkong	0.00662106017137346
BOC HONG KONG HOLDINGS LTD	Aktien	Hongkong	0.00650645690380623
XERO LTD	Aktien	Australien	0.0064018940936374
CK ASSET HOLDINGS LTD	Aktien	Hongkong	0.00638511627674686
QBE INSURANCE GROUP LTD	Aktien	Australien	0.00625524363896458
BRAMBLES LTD	Aktien	Australien	0.00608463911158245
SONIC HEALTHCARE LTD	Aktien	Australien	0.00600068750234327
FISHER AND PAYKEL HEALTHCARE CORPO	Aktien	Neuseeland	0.00580971878394445
COCHLEAR LTD	Aktien	Australien	0.00570672511100555
ASX LTD	Aktien	Australien	0.00560151134154414
TELSTRA CORPORATION LTD	Aktien	Australien	0.00559607303666081
SCENTRE GROUP	Aktien	Australien	0.00549420349051845
SOUTH32 LTD	Aktien	Australien	0.00544526785336952
SUNCORP GROUP LTD	Aktien	Australien	0.00542573218817744
SANTOS LTD	Aktien	Australien	0.00542527012260416
SANDS Volksrepublik China LTD	Aktien	Hongkong	0.00521609813159366
INSURANCE AUSTRALIA GROUP LTD	Aktien	Australien	0.00480768677343555
WHARF REAL ESTATE INVESTMENT COMPA	Aktien	Hongkong	0.0047093328386785
NORTHERN STAR RESOURCES LTD	Aktien	Australien	0.00449499143476393
MIRVAC GROUP STAPLED UNITS	Aktien	Australien	0.00435157888231162
DEXUS STAPLED UNITS	Aktien	Australien	0.00432594336588508
RAMSAY HEALTH CARE LTD	Aktien	Australien	0.00430887596559082
STOCKLAND STAPLED UNITS LTD	Aktien	Australien	0.00427644053270616
BLUESCOPE STEEL LTD	Aktien	Australien	0.00426733250876773
TABCORP HOLDINGS LTD	Aktien	Australien	0.00426485330283677
WH GROUP LTD	Aktien	Hongkong	0.00420171002620091
MTR CORPORATION CORP LTD	Aktien	Hongkong	0.004182947441539
POWER ASSETS HOLDINGS LTD	Aktien	Hongkong	0.00411481920494608
APA GROUP UNITS	Aktien	Australien	0.00409437604541371
NEW WORLD DEVELOPMENT COMPANY LTD	Aktien	Hongkong	0.00395756277017936
SEEK LTD	Aktien	Australien	0.00386547650279748
FUTU HOLDINGS ADR LTD	Aktien	Hongkong	0.00375105115573689
CAPITALAND	Aktien	Singapur	0.00354101131554149
CAPITALAND INTEGRATED COMMERCIAL T	Aktien	Singapur	0.00351843484762306
GPT GROUP STAPLED UNITS	Aktien	Australien	0.00344813832351753
ASCENDAS REAL ESTATE INVESTMENT TR	Aktien	Singapur	0.00342414080847072
HENDERSON LAND DEVELOPMENT LTD	Aktien	Hongkong	0.00339799962323587
COMPUTERSHARE LTD	Aktien	Australien	0.00336085961045822
WILMAR INTERNATIONAL LTD	Aktien	Singapur	0.00336065819890984
MEDIBANK PRIVATE LTD	Aktien	Australien	0.00333551393487149
AUCKLAND INTERNATIONAL AIRPORT LTD	Aktien	Neuseeland	0.00330038993616869
XINYI GLASS HLDS LTD	Aktien	Hongkong	0.00328928485188636
LENDLEASE GROUP STAPLED UNITS	Aktien	Australien	0.00328782493191081
TREASURY WINE ESTATES LTD	Aktien	Australien	0.00324060224221865
REA GROUP LTD	Aktien	Australien	0.00321606655705918
EVOLUTION MINING LTD	Aktien	Australien	0.00321322211369826
ORIGIN ENERGY LTD	Aktien	Australien	0.00312010095329898
OIL SEARCH LTD	Aktien	Australien	0.00310897147694863
ESR CAYMAN LTD	Aktien	Hongkong	0.00304306974060056
SYDNEY AIRPORT STAPLED UNITS LTD	Aktien	Australien	0.00301383098798504
SPARK NEW ZEALAND LTD	Aktien	Neuseeland	0.00298360693097588
KEPPEL LTD	Aktien	Singapur	0.00288969746913856
BUDWEISER BREWING COMPANY APAC LTD	Aktien	Hongkong	0.00281482807587139
HONGKONG LAND HOLDINGS LTD	Aktien	Hongkong	0.00278436421715931
AURIZON HOLDINGS LTD	Aktien	Australien	0.00267250570083336
AMPOL LTD	Aktien	Australien	0.00264610971824429
DOMINOS PIZZA ENTERPRISES LTD	Aktien	Australien	0.00263918825977973
MAGELLAN FINANCIAL GROUP LTD	Aktien	Australien	0.00256922366731209
HANG LUNG PROPERTIES LTD	Aktien	Hongkong	0.00252040516357683
SINO LAND LTD	Aktien	Hongkong	0.00251382191175446
HKT TRUST AND HKT UNITS LTD	Aktien	Hongkong	0.00249736572905885
REECE LTD	Aktien	Australien	0.00247754041610403
MERIDIAN ENERGY LTD	Aktien	Neuseeland	0.00244597263932721
SINGAPORE EXCHANGE LTD	Aktien	Singapur	0.00242538309520727
SINGAPORE AIRLINES LTD	Aktien	Singapur	0.00241470989211855
VICINITY CENTRES	Aktien	Australien	0.00234925126761281
SINGAPORE TECHNOLOGIES ENGINEERING	Aktien	Singapur	0.00223292118322035
ORICA LTD	Aktien	Australien	0.00218128195242247
MAPLETREE LOGISTICS TRUST UNITS	Aktien	Singapur	0.00215357800150052
AGL ENERGY LTD	Aktien	Australien	0.00205330941812274
CHEUNG KONG INFRASTRUCTURE HOLDING	Aktien	Hongkong	0.00201905745194105
GENTING SINGAPORE LTD	Aktien	Singapur	0.00201209100652256
VENTURE CORPORATION LTD	Aktien	Singapur	0.00194406609833384
RYMAN HEALTHCARE LTD	Aktien	Neuseeland	0.00189638732845711
CHOW TAI FOOK JEWELLERY GROUP LTD	Aktien	Hongkong	0.00185058365858424
SWIRE PACIFIC LTD A	Aktien	Hongkong	0.00184461413436224
MELCO RESORTS ENTERTAINMENT ADR LT	Aktien	Hongkong	0.00180830950164466
CROWN RESORTS LTD	Aktien	Australien	0.00179418610811294
SEA ADS REPRESENTING LTD CLASS A	Aktien	Singapur	0.0017140244405754
QANTAS AIRWAYS LTD	Aktien	Australien	0.00171228163053406
MERCURY NZ LTD	Aktien	Neuseeland	0.00167589136814237
MAPLETREE COMMERCIAL UNITS TRUST	Aktien	Singapur	0.00166074839903965
SWIRE PROPERTIES LTD	Aktien	Hongkong	0.00164989016377275
THE A2 MILK COMPANY LTD	Aktien	Neuseeland	0.00160172471099816
WISETECHGLOBAL PTY LTD	Aktien	Australien	0.00156775042180177
BANK OF EAST ASIA LTD	Aktien	Hongkong	0.00130864069154486
AUSNET SERVICES	Aktien	Australien	0.00128498402186
HK ELECTRIC INVESTMENTS UNITS LTD	Aktien	Hongkong	0.00128309820607957
WYNN MACAU LTD	Aktien	Hongkong	0.001274148022634
UOL GROUP LTD	Aktien	Singapur	0.00124023490668468
WASHINGTON H SOUL PATTINSON & COMP	Aktien	Australien	0.00123313169835189
CITY DEVELOPMENTS LTD	Aktien	Singapur	0.00115494366447553
SJM HLDGS LTD	Aktien	Hongkong	0.00109794928064622
SINGAPORE AIRLINES LTD	Aktien	Singapur	0.00000102993737297923
BGP HOLDINGS PLC - UNLISTED Prvt	Aktien	Malta	0.00000000778744123792332
