	Name	ISIN	Country	Currency	Exchange	Type of Security	Rating	Primary Listing	Industry Classification	Weighting
1	IMCD	NL0010801007	Niederlande	EUR	Euronext Amsterdam	Equity	-	Amsterdam Exchanges Index	Industrials	0.0051047447
2	INTERMEDIATE CAPITAL GR.	GB00BYT1DJ19	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Financials	0.0047309375
3	EURONEXT NV	NL0006294274	Niederlande	EUR	Euronext Paris	Equity	-	CAC 40 Index	Financials	0.0046968632
4	SIG COMBIBLOC	CH0435377954	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Materials	0.004693928
5	SMITH (DS)	GB0008220112	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Materials	0.0046602696
6	SIGNIFY	NL0011821392	Niederlande	EUR	Euronext Amsterdam	Equity	-	Amsterdam Exchanges Index	Industrials	0.0045453666
7	GETINGE B	SE0000202624	Schweden	SEK	Stockholm Stock Exchange	Equity	-	OMX Stockholm 30 Index	Health Care	0.004501911
8	VAT GROUP	CH0311864901	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Industrials	0.0043709552
9	AERCAP	NL0000687663	Niederlande	USD	New York Stock Exchange	Equity	-	S&P 500 Index	Industrials	0.0042604066
10	B&M EUROPEAN VALUE RETAIL	LU1072616219	Luxemburg	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Consumer Discretionary	0.0042522302
11	RIGHTMOVE	GB00BGDT3G23	Vereinigtes Königreich	GBP	-	Equity	-	-	Communication Services	0.0041405005
12	OUTOTEC	FI0009014575	Finnland	EUR	Helsinki Stock Exchange	Equity	-	OMX Helsinki Index	Industrials	0.0041094003
13	INDUTRADE	SE0001515552	Schweden	SEK	Stockholm Stock Exchange	Equity	-	OMX Stockholm 30 Index	Industrials	0.0039296294
14	ROYAL MAIL	GB00BDVZYZ77	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Industrials	0.0038913636
15	ITV	GB0033986497	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	Baa3	FTSE 100 Index	Communication Services	0.0038559607
16	GALIFORM	GB0005576813	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Industrials	0.0038260682
17	WEIR GROUP	GB0009465807	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	Baa1	FTSE 100 Index	Industrials	0.0037894007
18	ROYAL UNIBREW	DK0060634707	Dänemark	DKK	Copenhagen Stock Exchange	Equity	-	OMX COPENHAGEN 20 Index	Consumer Staples	0.0037344695
19	PENNON GROUP	GB00B18V8630	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Utilities	0.0035968357
20	DECHRA PHARMACEUTICALS	GB0009633180	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Health Care	0.0035932216
21	EMBRACER GR.	SE0013121589	Schweden	SEK	-	Equity	-	-	Communication Services	0.0035870274
22	BELLWAY	GB0000904986	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Consumer Discretionary	0.0035851447
23	BANK OF IRELAND	IE00BD1RP616	Irland	EUR	-	Equity	-	-	Financials	0.0035611024
24	ELECTROCOMPONENTS	GB0003096442	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Industrials	0.0035607133
25	TRELLEBORG B	SE0000114837	Schweden	SEK	Stockholm Stock Exchange	Equity	-	OMX Stockholm 30 Index	Industrials	0.0035572082
26	ASR NEDERLAND	NL0011872643	Niederlande	EUR	Euronext Amsterdam	Equity	-	Amsterdam Exchanges Index	Financials	0.0035523391
27	IMI	GB00BGLP8L22	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Industrials	0.0035358471
28	CASTELLUM	SE0000379190	Schweden	SEK	Stockholm Stock Exchange	Equity	-	OMX Stockholm 30 Index	Real Estate	0.0033884283
29	TECAN N	CH0012100191	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Health Care	0.0033803512
30	EVOTEC	DE0005664809	Deutschland	EUR	XETRA	Equity	-	DAX Index	Health Care	0.0033782249
31	DIALOG SEMICON.	GB0059822006	Vereinigtes Königreich	EUR	XETRA	Equity	-	DAX Index	Information Technology	0.0033514465
32	VALMET	FI4000074984	Finnland	EUR	Helsinki Stock Exchange	Equity	-	OMX Helsinki Index	Industrials	0.003256637
33	CLX COMMUNICATIONS	SE0007439112	Schweden	SEK	-	Equity	-	-	Information Technology	0.0032319823
34	AALBERTS INDUSTRIES	NL0000852564	Niederlande	EUR	Euronext Amsterdam	Equity	-	Amsterdam Exchanges Index	Industrials	0.0031117796
35	PSP SWISS PROPERTY	CH0018294154	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Real Estate	0.0030917679
36	TOMRA SYSTEMS	NO0005668905	Norwegen	NOK	Oslo Stock Exchange	Equity	-	Oslo SE All-share Index	Industrials	0.0030906731
37	MEGGITT	GB0005758098	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Industrials	0.0030812831
38	GEORG FISCHER N	CH0001752309	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Industrials	0.0030733522
39	SIMCORP	DK0060495240	Dänemark	DKK	Copenhagen Stock Exchange	Equity	-	OMX COPENHAGEN 20 Index	Information Technology	0.0030584979
40	BESI RG	NL0012866412	Niederlande	EUR	Euronext Amsterdam	Equity	-	Amsterdam Exchanges Index	Information Technology	0.0029971644
42	DERWENT LONDON	GB0002652740	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	Baa2	FTSE 100 Index	Real Estate	0.0029882909
43	TRAVIS PERKINS RG	GB00BK9RKT01	Vereinigtes Königreich	GBP	-	Equity	-	-	Industrials	0.0029597779
44	TATE & LYLE	GB0008754136	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	Baa2	FTSE 100 Index	Consumer Staples	0.0029414928
45	NOKIAN RENKAAT	FI0009005318	Finnland	EUR	Helsinki Stock Exchange	Equity	-	OMX Helsinki Index	Consumer Discretionary	0.0029187125
46	REXEL	FR0010451203	Frankreich	EUR	Euronext Paris	Equity	Ba3	CAC 40 Index	Industrials	0.0029116032
47	UNITE GROUP	GB0006928617	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	B1	FTSE 100 Index	Real Estate	0.0029088184
48	ASOS	GB0030927254	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Consumer Discretionary	0.002905828
49	DIPLOMA	GB0001826634	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Industrials	0.0028718115
50	SPECTRIS	GB0003308607	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Information Technology	0.0028708316
51	THULE GROUP	SE0006422390	Schweden	SEK	Stockholm Stock Exchange	Equity	-	OMX Stockholm 30 Index	Consumer Discretionary	0.002867689
52	GAMES WORKSHOP	GB0003718474	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	B1	FTSE 100 Index	Consumer Discretionary	0.0028657586
53	BANCO BPM	IT0005218380	Italien	EUR	Milan Stock Exchange	Equity	-	FTSE Italia All-Share Index	Financials	0.0028629951
54	ELEKTA B	SE0000163628	Schweden	SEK	Stockholm Stock Exchange	Equity	-	OMX Stockholm 30 Index	Health Care	0.0028456441
55	AMS	AT0000A18XM4	Österreich	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Information Technology	0.0028137035
56	TUI AG	DE000TUAG000	Deutschland	GBP	XETRA	Equity	B3	DAX Index	Consumer Discretionary	0.0027751889
57	THYSSENKRUPP	DE0007500001	Deutschland	EUR	XETRA	Equity	Ba1	DAX Index	Materials	0.002759262
58	CONVATEC GROUP	GB00BD3VFW73	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Health Care	0.0027350991
59	NETCOMPAN GRP BR/RG	DK0060952919	Dänemark	DKK	-	Equity	-	-	Information Technology	0.0027348477
60	SIGN AVIAT RG	GB00BKDM7X41	Vereinigtes Königreich	GBP	-	Equity	-	-	Industrials	0.0027207325
61	WAREHOUSES DE PAUW	BE0974349814	Belgien	EUR	Euronext Brussels	Equity	-	BEL 20 Index	Real Estate	0.0027204644
62	MILLICOM INTL. CELLULAR	SE0001174970	Luxemburg	SEK	Stockholm Stock Exchange	Equity	-	OMX Stockholm 30 Index	Communication Services	0.0027112834
63	DOMETIC GROUP	SE0007691613	Schweden	SEK	Stockholm Stock Exchange	Equity	-	OMX Stockholm 30 Index	Consumer Discretionary	0.0027094096
64	PROSIEBENSAT 1 MEDIA	DE000PSM7770	Deutschland	EUR	XETRA	Equity	-	DAX Index	Communication Services	0.0026933502
65	BOOHOO.COM	JE00BG6L7297	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Consumer Discretionary	0.0026597244
66	TRITAX BIG BOX REIT	GB00BG49KP99	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Real Estate	0.0026237113
67	WIENERBERGER	AT0000831706	Österreich	EUR	Vienna Stock Exchange	Equity	Ba2	Austrian Traded Index	Materials	0.0026221984
68	GENUS	GB0002074580	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Health Care	0.0026205225
69	RUBIS	FR0013269123	Frankreich	EUR	-	Equity	-	-	Utilities	0.0025898308
70	INCHCAPE	GB00B61TVQ02	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Consumer Discretionary	0.0025881339
71	BANCO DE SABADELL	ES0113860A34	Spanien	EUR	Mercado Continuo Espana	Equity	-	IBEX 35 Index	Financials	0.00258129
72	IG GR. HLDGS.	GB00B06QFB75	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Financials	0.0025708652
73	CENTRICA	GB00B033F229	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	A3	FTSE 100 Index	Utilities	0.0025642347
74	HUHTAMAKI	FI0009000459	Finnland	EUR	Helsinki Stock Exchange	Equity	-	OMX Helsinki Index	Materials	0.0025587072
75	BAKKAFROST	FO0000000179	Färöer	NOK	Oslo Stock Exchange	Equity	-	Oslo SE All-share Index	Consumer Staples	0.0025395288
76	HOLMEN-B RG	SE0011090018	Schweden	SEK	Stockholm Stock Exchange	Equity	-	OMX Stockholm 30 Index	Materials	0.0025346387
77	RHEINMETALL ST.	DE0007030009	Deutschland	EUR	XETRA	Equity	Ba1	DAX Index	Industrials	0.0025197623
78	STOREBRAND	NO0003053605	Norwegen	NOK	Oslo Stock Exchange	Equity	Baa3	Oslo SE All-share Index	Financials	0.0025105548
79	MARKS & SPENCER	GB0031274896	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	Baa3	FTSE 100 Index	Consumer Discretionary	0.0025091291
80	LIFCO	SE0015949201	Schweden	SEK	-	Equity	-	-	Industrials	0.0024953479
81	ADDTECH RG-B	SE0014781795	Schweden	SEK	-	Equity	-	-	Industrials	0.0024766621
82	ABCAM	GB00B6774699	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Health Care	0.0024746358
83	TAG IMMOBILIEN	DE0008303504	Deutschland	EUR	XETRA	Equity	-	DAX Index	Real Estate	0.0024669107
84	FUTURE RG	GB00BYZN9041	Vereinigtes Königreich	GBP	-	Equity	-	-	Communication Services	0.0024649309
85	MERLIN PROPERTIES	ES0105025003	Spanien	EUR	Mercado Continuo Espana	Equity	-	IBEX 35 Index	Real Estate	0.0024542226
86	AVAST	GB00BDD85M81	Vereinigtes Königreich	GBP	-	Equity	-	-	Information Technology	0.0024517121
87	FABEGE RG	SE0011166974	Schweden	SEK	-	Equity	-	OMX Stockholm 30 Index	Real Estate	0.0024372214
88	INTERPUMP GROUP	IT0001078911	Italien	EUR	Milan Stock Exchange	Equity	-	FTSE Italia All-Share Index	Industrials	0.0023864643
89	ROTORK	GB00BVFNZH21	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Industrials	0.0023706191
90	BOVIS HOMES	GB0001859296	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Consumer Discretionary	0.0023594108
91	SOITEC	FR0013227113	Frankreich	EUR	Euronext Paris	Equity	-	CAC 40 Index	Information Technology	0.0023578794
92	BAWAG GROUP	AT0000BAWAG2	Österreich	EUR	Vienna Stock Exchange	Equity	-	Austrian Traded Index	Financials	0.0023468669
93	HAYS	GB0004161021	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Industrials	0.0023405347
94	AAK RG	SE0011337708	Schweden	SEK	-	Equity	-	OMX Stockholm 30 Index	Consumer Staples	0.002339489
95	AEDIFICA	BE0003851681	Belgien	EUR	Euronext Brussels	Equity	-	BEL 20 Index	Real Estate	0.0023327311
96	SALMAR	NO0010310956	Norwegen	NOK	Oslo Stock Exchange	Equity	-	Oslo SE All-share Index	Consumer Staples	0.0023321929
97	BANKINTER	ES0113679I37	Spanien	EUR	Mercado Continuo Espana	Equity	Baa3	IBEX 35 Index	Financials	0.002324662
98	AVANZA BANK	SE0012454072	Schweden	SEK	-	Equity	-	-	Financials	0.0023204835
99	HELVETIA	CH0466642201	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Financials	0.0022973426
100	QUILTER	GB00BDCXV269	Vereinigtes Königreich	GBP	-	Equity	-	-	Financials	0.0022950964
101	HOMESERVE	GB00BYYTFB60	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Industrials	0.0022902091
102	HISCOX	BMG4593F1389	Bermuda	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Financials	0.002261071
